driver_1,0,0
driver_1,11,71
driver_1,0,9
driver_1,0,0
abi,13,44,57,Bad
sena,0,12,12,Bad
driver_1,0,4
akil,3,26,29,Bad
aravind,21,30,51,Bad
kiran,0,0,0,Good
kiran,0,0,0,Good
bujji,22,155,177,Bad
bhai,6,107,113,Bad
aravibnd,0,0,0,Good
aravind,7,2,9,Bad
mamidi,22,252,274,Bad
